TI-Beam01,,,,,,,
,,Name,Type,Description (Value),Unit,IFC 4.3,Documentation
,,Body SurfaceModel Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SurfaceModel_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body SurfaceModel Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SurfaceModel_Geometry/content.html
Applicable entity: IfcElement"
,,Body SweptSolid PolyCurve Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SweptSolid_Geometry/Body_SweptSolid_PolyCurve_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body SweptSolid PolyCurve Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SweptSolid_Geometry/Body_SweptSolid_PolyCurve_Geometry/content.html
Applicable entity: IfcElement"
,CT for IfcProduct,,Group,,,CT for IfcProduct,
,,Mapped Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Mapped_Geometry/content.html
Applicable entity: IfcProduct",Label,CT for IfcProduct.Mapped Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Mapped_Geometry/content.html
Applicable entity: IfcProduct"
,,Product Local Placement,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct",Label,CT for IfcProduct.Product Local Placement,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct"
,CT for IfcObject,,Group,,,CT for IfcObject,
,,Object Predefined Type,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object Predefined Type,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject"
,,Object Typing,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object Typing,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject"
,,Object User Identity,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object User Identity,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject"
,,Property Sets for Objects,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/Property_Sets_for_Objects/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Property Sets for Objects,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/Property_Sets_for_Objects/content.html
Applicable entity: IfcObject"
,,Property Sets with Override,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Definition/Property_Sets/Property_Sets_for_Objects/Property_Sets_with_Override/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Property Sets with Override,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Definition/Property_Sets/Property_Sets_for_Objects/Property_Sets_with_Override/content.html
Applicable entity: IfcObject"
,,Quantity Sets,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Quantity_Sets/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Quantity Sets,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Quantity_Sets/content.html
Applicable entity: IfcObject"
,CT for IfcObjectDefinition,,Group,,,CT for IfcObjectDefinition,
,,Classification Association,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Classification_Association/content.html
Applicable entity: IfcObjectDefinition",Label,CT for IfcObjectDefinition.Classification Association,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Classification_Association/content.html
Applicable entity: IfcObjectDefinition"
,,Material Single,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Material_Association/Material_Single/content.html
Applicable entity: IfcObjectDefinition",Label,CT for IfcObjectDefinition.Material Single,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Material_Association/Material_Single/content.html
Applicable entity: IfcObjectDefinition"
,CT for IfcRoot,,Group,,,CT for IfcRoot,
,,Object Attributes,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/content.html
Applicable entity: IfcRoot",Label,CT for IfcRoot.Object Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/content.html
Applicable entity: IfcRoot"
,,Object Occurrence Attributes,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Occurrence_Attributes/content.html
Applicable entity: IfcRoot",Label,CT for IfcRoot.Object Occurrence Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Occurrence_Attributes/content.html
Applicable entity: IfcRoot"
,Dimensions,,Group,,,ePset_Dimensions,
,,Bar Placement Sequence,Property,,Label,ePset_Dimensions.Bar Placement Sequence,
,,Cover X-Axis (Measured on Cross-Section),Property,,Label,ePset_Dimensions.Cover X-Axis (Measured on Cross-Section),
,,Cover Y-Axis (Measured on Cross-Section),Property,,Label,ePset_Dimensions.Cover Y-Axis (Measured on Cross-Section),
,,Cutoff Lengths,Property,,Label,ePset_Dimensions.Cutoff Lengths,
,,Development Length,Property,,Label,ePset_Dimensions.Development Length,
,,"End Concrete Cover (Distance to Tip of Bar, Longitudinal Measurement)",Property,,Label,"ePset_Dimensions.End Concrete Cover (Distance to Tip of Bar, Longitudinal Measurement)",
,,Lap Splice Length,Property,,Label,ePset_Dimensions.Lap Splice Length,
,,Lap Splice Location,Property,,Label,ePset_Dimensions.Lap Splice Location,
,,Longitudinal Bar Length,Property,,Label,ePset_Dimensions.Longitudinal Bar Length,
,,"Start Concrete Cover (Distance to Tip of Bar, Longitudinal Measurement)",Property,,Label,"ePset_Dimensions.Start CStart Concrete Cover (Distance to Tip of Bar, Longitudinal Measurement)",
,End Conditions,,Group,,,ePset_End Conditions,
,,Bending Radius,Property,,Label,ePset_End Conditions.Bending Radius,
,,End Condition (Hooks Type),Property,,Label,ePset_End Conditions.End Condition (Hooks Type),
,,End Hook Angle,Property,,Label,ePset_End Conditions.End Hook Angle,
,,End Hook Length,Property,,Label,ePset_End Conditions.End HooEnd Hook Length,
,,End Hook Radius,Property,,Label,ePset_End Conditions.End Hook Radius,
,,Start Condition (Hook Type),Property,,Label,ePset_End Conditions.Start Condition (Hook Type),
,,Start Hook Angle,Property,,Label,ePset_End Conditions.Start Hook Angle,
,,Start Hook Length,Property,,Label,ePset_End Conditions.Start Hook Length,
,,Start Hook Radius,Property,,Label,ePset_End Conditions.Start Hook Radius,
,Material,,Group,,,ePset_Material,
,,Bar Material Designation,Property,,Label,ePset_Material.Bar Material Designation,
,Pattern,,Group,,,ePset_Pattern,
,,Mesh Size,Property,,Label,ePset_Pattern.Mesh Size,
,,Number of Bars,Property,,Label,ePset_Pattern.Number of Bars,
,,Spacing between the Bars,Property,,Label,ePset_Pattern.Spacing between the Bars,
,Properties,,Group,,,ePset_Properties,
,,Associated Member,Property,,Label,ePset_Properties.Associated Member,
,,Bar Coating,Property,,Label,ePset_Properties.Bar Coating,
,,Bar Grade,Property,,Label,ePset_Properties.Bar Grade,
,,Bar Size,Property,,Label,ePset_Properties.Bar Size,
,,Bar Surface,Property,,Label,ePset_Properties.Bar Surface,
,,Lap Splice Indicator,Property,,Label,ePset_Properties.Lap Splice Indicator,
Reinforcementbar 2 - Beam01,,,Object,,,IfcReinforcingBar,
,CT for IfcReinforcingBar,,Group,,,CT for IfcReinforcingBar,
,,Reinforcing Bar Attributes,Property,Attributes attached to the element,Label,CT for IfcReinforcingBar.Reinforcing Bar Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Attributes/Object_Occurrence_Attributes/Element_Occurrence_Attributes/Reinforcing_Bar_Attributes/content.html
Applicable entity: IfcReinforcingBar"
,Qto_ReinforcingElementBaseQuantities,,Group,Base quantities that are common to the definition of all occurrences of reinforcement.,,Qto_ReinforcingElementBaseQuantities,Base quantities that are common to the definition of all occurrences of reinforcement.
,,Count,Property,Total count of reinforcing items.,Label,Qto_ReinforcingElementBaseQuantities.Count,Total count of reinforcing items.
,,Length,Property,"The nominal length of the transition section. The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided in the attached property set, the geometric parameters take precedence.",Label,Qto_ReinforcingElementBaseQuantities.Length,"The nominal length of the transition section. The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided i"
,,Weight,Property,The weight of the humidifier.,Label,Qto_ReinforcingElementBaseQuantities.Weight,The weight of the humidifier.
,Pset_ElementComponentCommon,,Group,"Set of common properties of component elements (especially discrete accessories, but also fasteners, reinforcement elements, or other types of components).",,Pset_ElementComponentCommon,"Set of common properties of component elements (especially discrete accessories, but also fasteners, reinforcement elements, or other types of components)."
,,CorrosionTreatment,Property,Determines corrosion treatment for metal components. This property is provided if the requirement needs to be expressed (a) independently of a material specification and (b) as a mere requirements statement rather than a workshop design/ processing feature.,Label,Pset_ElementComponentCommon.CorrosionTreatment,Determines corrosion treatment for metal components. This property is provided if the requirement needs to be expressed (a) independently of a material specification and (b) as a mere requirements statement rather than a workshop design/ processing featur
,,DeliveryType,Property,Determines how the accessory will be delivered to the site.,Label,Pset_ElementComponentCommon.DeliveryType,Determines how the accessory will be delivered to the site.
,,Status,Property,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""Temporary"" - element will exists only temporary (like a temporary support structure).",Label,Pset_ElementComponentCommon.Status,"Status of the element, predominately used in renovation or retrofitting projects. The status can be assigned to as ""New"" - element designed as new addition, ""Existing"" - element exists and remains, ""Demolish"" - element existed but is to be demolished,  ""T"
,CT for IfcElement,,Group,,,CT for IfcElement,
,,Body AdvancedSweptSolid Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_AdvancedSweptSolid_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body AdvancedSweptSolid Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_AdvancedSweptSolid_Geometry/content.html
Applicable entity: IfcElement"
,,Body SurfaceModel Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SurfaceModel_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body SurfaceModel Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SurfaceModel_Geometry/content.html
Applicable entity: IfcElement"
,,Body SweptSolid PolyCurve Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SweptSolid_Geometry/Body_SweptSolid_PolyCurve_Geometry/content.html
Applicable entity: IfcElement",Label,CT for IfcElement.Body SweptSolid PolyCurve Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Body_Geometry/Body_SweptSolid_Geometry/Body_SweptSolid_PolyCurve_Geometry/content.html
Applicable entity: IfcElement"
,CT for IfcProduct,,Group,,,CT for IfcProduct,
,,Mapped Geometry,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Mapped_Geometry/content.html
Applicable entity: IfcProduct",Label,CT for IfcProduct.Mapped Geometry,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Geometric_Representation/Mapped_Geometry/content.html
Applicable entity: IfcProduct"
,,Product Local Placement,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct",Label,CT for IfcProduct.Product Local Placement,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Product_Shape/Product_Placement/Product_Local_Placement/content.html
Applicable entity: IfcProduct"
,CT for IfcObject,,Group,,,CT for IfcObject,
,,Object Predefined Type,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object Predefined Type,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Predefined_Type/content.html
Applicable entity: IfcObject"
,,Object Typing,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object Typing,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Object_Typing/content.html
Applicable entity: IfcObject"
,,Object User Identity,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Object User Identity,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_User_Identity/content.html
Applicable entity: IfcObject"
,,Property Sets for Objects,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/Property_Sets_for_Objects/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Property Sets for Objects,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Property_Sets/Property_Sets_for_Objects/content.html
Applicable entity: IfcObject"
,,Property Sets with Override,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Definition/Property_Sets/Property_Sets_for_Objects/Property_Sets_with_Override/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Property Sets with Override,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts//Object_Definition/Property_Sets/Property_Sets_for_Objects/Property_Sets_with_Override/content.html
Applicable entity: IfcObject"
,,Quantity Sets,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Quantity_Sets/content.html
Applicable entity: IfcObject",Label,CT for IfcObject.Quantity Sets,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Definition/Quantity_Sets/content.html
Applicable entity: IfcObject"
,CT for IfcObjectDefinition,,Group,,,CT for IfcObjectDefinition,
,,Classification Association,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Classification_Association/content.html
Applicable entity: IfcObjectDefinition",Label,CT for IfcObjectDefinition.Classification Association,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Classification_Association/content.html
Applicable entity: IfcObjectDefinition"
,,Material Single,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Material_Association/Material_Single/content.html
Applicable entity: IfcObjectDefinition",Label,CT for IfcObjectDefinition.Material Single,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Association/Material_Association/Material_Single/content.html
Applicable entity: IfcObjectDefinition"
,CT for IfcRoot,,Group,,,CT for IfcRoot,
,,Object Attributes,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/content.html
Applicable entity: IfcRoot",Label,CT for IfcRoot.Object Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/content.html
Applicable entity: IfcRoot"
,,Object Occurrence Attributes,Property,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Occurrence_Attributes/content.html
Applicable entity: IfcRoot",Label,CT for IfcRoot.Object Occurrence Attributes,"http://ifc43-docs.standards.buildingsmart.org/IFC/RELEASE/IFC4x3/HTML/concepts/Object_Attributes/Object_Occurrence_Attributes/content.html
Applicable entity: IfcRoot"
,Dimensions,,Group,,,ePset_Dimensions,
,,Bar Placement Sequence,Property,,Label,ePset_Dimensions.Bar Placement Sequence,
,,Cover X-Axis (Measured on Cross-Section),Property,,Label,ePset_Dimensions.Cover X-Axis (Measured on Cross-Section),
,,Cover Y-Axis (Measured on Cross-Section),Property,,Label,ePset_Dimensions.Cover Y-Axis (Measured on Cross-Section),
,,Cutoff Lengths,Property,,Label,ePset_Dimensions.Cutoff Lengths,
,,Development Length,Property,,Label,ePset_Dimensions.Development Length,
,,"End Concrete Cover (Distance to Tip of Bar, Longitudinal Measurement)",Property,,Label,"ePset_Dimensions.End Concrete Cover (Distance to Tip of Bar, Longitudinal Measurement)",
,,Lap Splice Length,Property,,Label,ePset_Dimensions.Lap Splice Length,
,,Lap Splice Location,Property,,Label,ePset_Dimensions.Lap Splice Location,
,,Longitudinal Bar Length,Property,,Label,ePset_Dimensions.Longitudinal Bar Length,
,,"Start Concrete Cover (Distance to Tip of Bar, Longitudinal Measurement)",Property,,Label,"ePset_Dimensions.Start CStart Concrete Cover (Distance to Tip of Bar, Longitudinal Measurement)",
,End Conditions,,Group,,,ePset_End Conditions,
,,Bending Radius,Property,,Label,ePset_End Conditions.Bending Radius,
,,End Condition (Hooks Type),Property,,Label,ePset_End Conditions.End Condition (Hooks Type),
,,End Hook Angle,Property,,Label,ePset_End Conditions.End Hook Angle,
,,End Hook Length,Property,,Label,ePset_End Conditions.End HooEnd Hook Length,
,,End Hook Radius,Property,,Label,ePset_End Conditions.End Hook Radius,
,,Start Condition (Hook Type),Property,,Label,ePset_End Conditions.Start Condition (Hook Type),
,,Start Hook Angle,Property,,Label,ePset_End Conditions.Start Hook Angle,
,,Start Hook Length,Property,,Label,ePset_End Conditions.Start Hook Length,
,,Start Hook Radius,Property,,Label,ePset_End Conditions.Start Hook Radius,
,Material,,Group,,,ePset_Material,
,,Bar Material Designation,Property,,Label,ePset_Material.Bar Material Designation,
,Pattern,,Group,,,ePset_Pattern,
,,Mesh Size,Property,,Label,ePset_Pattern.Mesh Size,
,,Number of Bars,Property,,Label,ePset_Pattern.Number of Bars,
,,Spacing between the Bars,Property,,Label,ePset_Pattern.Spacing between the Bars,
,Properties,,Group,,,ePset_Properties,
,,Associated Member,Property,,Label,ePset_Properties.Associated Member,
,,Bar Coating,Property,,Label,ePset_Properties.Bar Coating,
,,Bar Grade,Property,,Label,ePset_Properties.Bar Grade,
,,Bar Size,Property,,Label,ePset_Properties.Bar Size,
,,Bar Surface,Property,,Label,ePset_Properties.Bar Surface,
,,Lap Splice Indicator,Property,,Label,ePset_Properties.Lap Splice Indicator,
